Title,Rating,Votes,Duration,Genre
Writing Hawa,8.7,61,84,documentary
TWST: Things We Said Today,7,45,86,documentary
The Ride Ahead,7.5,16,93,documentary
Reas,6.8,121,82,documentary
Irklais per Atlanta,9,852,100,documentary
Born to Be Wild: The Story of Steppenwolf,7.2,39,100,documentary
"Sudan, Remember Us",7.7,41,76,documentary
Yalla Parkour,7.6,37,89,documentary
An Army of Women,7.8,22,84,documentary
Tajemství smrti,6.2,15,94,documentary
Diane von Furstenberg: Woman in Charge,7.2,311,97,documentary
For the Living,8,6,117,documentary
A Photographic Memory,7.4,24,87,documentary
Operation Hope: The Children Lost in the Amazon,6.8,87,86,documentary
Revealed: How to Poison a Planet,7.5,88,95,documentary
Pignorant,8.2,1800,102,documentary
One Night in Millstreet,7.2,73,79,documentary
The Texas Cheerleader Murder Plot,5,296,100,documentary
Mozart's Sister,6.8,35,98,documentary
We Can Be Heroes,9.2,17,86,documentary
My Sweet Land,7.7,63,86,documentary
Billy Preston: That's the Way God Planned It,8.4,28,105,documentary
Sharon Stone: Survival Instinct,6.9,63,52,documentary
Pagtatag! The Documentary,6.5,194,73,documentary
A Hero's Journey: The Making of Percy Jackson and the Olympians,7.4,249,50,documentary
La Libertad de Fierro,7.1,22,96,documentary
Secret Lives of Orangutans,7.3,458,78,documentary
How to Build a Truth Engine,8,48,124,documentary
Elementary,6.1,63,105,documentary
The Guest,6.7,28,78,documentary
Mrs. Robinson,6.9,32,94,documentary
Un hombre libre,7.9,8,88,documentary
La Laguna del Soldado,6.8,21,77,documentary
The Life of Jesus,8.1,44,0,documentary
Satisfied,7.5,14,84,documentary
Here to Climb,5.9,238,79,documentary
Blue Rodeo: Lost Together,8.4,54,88,documentary
Expedition Amazon,6.5,141,47,documentary
Silent Trees,7.1,113,85,documentary
Breaking the Silence: The Maria Soledad Case,6.4,517,95,documentary
A Fly on the Wall,8.2,11,82,documentary
Fish War,8.3,10,79,documentary
Minu kallimad,6,7,97,documentary
Beethoven's Nine: Ode to Humanity,6.9,22,85,documentary
Au boulot !,6.8,90,84,documentary
The Shards,6.7,12,90,documentary
Cabin Pressure - 'Anya leszek csak azért is!',6.3,44,80,documentary
Keanu Reeves: The One and Only,6.3,112,50,documentary
Can't Feel Nothing,6.1,173,81,documentary
Make It Look Real,8,9,78,documentary
One Day in October,7.1,94,68,documentary
Misty - The Erroll Garner Story,7.5,31,100,documentary
The Shepherd and the Bear,9,18,101,documentary
It's All Over: The Kiss That Changed Spanish Football,6.9,624,95,documentary
This Search for Meaning,8.2,61,95,documentary
Night Is Not Eternal,6,128,92,documentary
Madu,5.3,266,100,documentary
The Strike,7.7,21,86,documentary
Kids Are Growing Up,6.7,259,85,documentary
S/He Is Still Her/e: The Official Genesis P-Orridge Documentary,7.9,39,99,documentary
Tom Papa: Home Free,6.9,481,62,documentary
Rising Up at Night,7,34,96,documentary
Resident Orca,7.5,16,97,documentary
The Guardian of the Monarchs,7.6,446,92,documentary
After the Rain: Putin's Stolen Children Come Home,8.8,12,79,documentary
"Si je meurs, ce sera de joie",7.7,13,80,documentary
Alma del desierto,7.5,27,87,documentary
"François Truffaut, le scénario de ma vie",6.7,38,98,documentary
Shelf Life,6,8,76,documentary
Robert Shields: My Life as a Robot,9.8,16,87,documentary
UNEARTH,9.8,5,93,documentary
Chinatown Cha-Cha,7.6,48,85,documentary
Grounded II: Making the Last of Us Part II,8.2,428,121,documentary
Clemente,8.2,20,101,documentary
Ice Maiden,8.7,76,90,documentary
Shahid,6.5,83,84,documentary
Michael Jackson: Ungloved,6.4,22,60,documentary
Eros,6.3,19,108,documentary
Fighting Spirit: A Combat Chaplain's Journey,8.6,26,0,documentary
Gary,6.6,533,91,documentary
Beyond the Gaze: Jule Campbell's Swimsuit Issue,9.4,6,107,documentary
The Trouble with Mr Doodle,8.9,23,90,documentary
The Flats,6.6,67,114,documentary
Champions of the Golden Valley,9.2,64,81,documentary
Breaking Into Beautiful,9.2,19,88,documentary
Between the Beats,6.4,63,89,documentary
A State of Passion,8.2,12,90,documentary
The Krays: The Mafia Connection,4.8,22,95,documentary
Whatever It Takes,8.3,14,93,documentary
A House Is Not a Disco,7.2,32,90,documentary
This Is Me,6.5,29,83,documentary
My Stolen Planet,7.7,125,82,documentary
Une pastorale américaine,7.7,53,118,documentary
Bogancloch,7,60,85,documentary
Turn in the Wound,4.3,29,77,documentary
Apa si talpa,8.8,56,85,documentary
Michelle Buteau: A Buteau-ful Mind at Radio City Music Hall,5.5,384,64,documentary
The Man Who Definitely Didn't Steal Hollywood,6.8,107,90,documentary
Jacqueline Novak: Get on Your Knees,6.7,852,94,documentary
Trilogy: New Wave,7.6,32,73,documentary
Pathological: The Lies of Joran van der Sloot,6.5,347,93,documentary
Holloway,8.5,8,86,documentary
The Pool,6.8,17,95,documentary
Denominación De Origen,8.3,9,86,documentary
Love Over Money,8.2,56,101,documentary
Real,6.5,31,83,documentary
Death Without Mercy,7.6,84,85,documentary
Electric Lady Studios: A Jimi Hendrix Vision,6.7,84,89,documentary
Les Survivantes,7.9,20,113,documentary
A Fidai Film,7,59,78,documentary
A Mother Apart,8.4,20,89,documentary
This Is a Film About the Black Keys,8.3,27,90,documentary
The Blair Witch Documentary,7.8,19,150,documentary
Dickweed,7.1,36,90,documentary
We Were Recruits,7,232,92,documentary
Tigers on the Rise,6.8,233,78,documentary
Rebel with a Bow Tie,7.9,95,110,documentary
State of Silence,6.5,110,80,documentary
The Other,9.6,7,100,documentary
See Her Be Her,7.6,21,110,documentary
Slave Play. Not a Movie. A Play.,5.5,184,79,documentary
Hispanoamerica,8.2,129,115,documentary
Helen and the Bear,8.2,13,81,documentary
7 Beats Per Minute,7.8,16,100,documentary
The Fall of 2008,7.7,11,61,documentary
Spacewoman,9.2,5,90,documentary
Dark Highway,9.5,10,67,documentary
Midnight Oil: The Hardest Line,7.3,163,105,documentary
Epidemic of Fraud,8.9,22,118,documentary
My Mercury,6.9,112,104,documentary
Welcome to Jay,9.6,10,105,documentary
Ilana Glazer: Human Magic,6.2,307,55,documentary
The Pilgrimage of Gilbert and George,6.8,14,88,documentary
Tiedustelijat,5.9,14,89,documentary
The House From...,5.9,37,97,documentary
Farming the Revolution,7.6,37,102,documentary
Abiding Nowhere,6.6,108,79,documentary
A Dangerous Boy,6.9,82,90,documentary
Stray Bodies,7.3,137,109,documentary
Born Innocent: The Redd Kross Story,8.9,24,87,documentary
1-800-on-Her-Own,8,17,77,documentary
Zuckerberg: King of the Metaverse,5.7,260,90,documentary
She Looks Like Me,7.4,7,105,documentary
The Hobby,6.1,133,88,documentary
Hov1 4-ever,6.4,73,92,documentary
L'Homme aux mille visages,6.5,168,90,documentary
Green Day: 20 Years of American Idiot,7.1,56,110,documentary
Wilfred Buck,7.1,56,97,documentary
Il était une fois Michel Legrand,8,39,109,documentary
The Cranes Call,8,34,90,documentary
Light Memories,9.4,21,80,documentary
Sally!,8.7,14,96,documentary
Sentenced,7.4,17,69,documentary
Colleyville,8.3,7,80,documentary
Andrea Bocelli: Because I Believe,7.6,17,107,documentary
"Mon Laferte, te amo",6.6,189,77,documentary
Quintessentially Irish,6.3,65,119,documentary
Jeff Dunham's Scrooged-Up Holiday Special,6.1,354,59,documentary
Quad Gods,6.5,130,90,documentary
Averroès & Rosa Parks,7.6,87,143,documentary
America's New Female Right,6.3,57,59,documentary
Surrounded by Spirits,2.8,51,96,documentary
Real,7.8,74,90,documentary
Marlon Wayans: Good Grief,6.1,362,68,documentary
Birdsong,8.7,45,52,documentary
Centered: Joe Lieberman,9.3,20,77,documentary
Love God's Will,9.8,57,70,documentary
A Horse Named Winx,8.7,97,117,documentary
Pandora's Legacy,6.8,14,89,documentary
Don't Turn Your Back on Friday Night,9.6,49,102,documentary
It's Time...,8.9,8,50,documentary
399: Queen of the Tetons,7.8,36,90,documentary
The Quest: Everest,8.4,14,97,documentary
"Cheers! Portland, the Strip Club Capital of America",6.1,21,106,documentary
Wanda Rutkiewicz. Ostatnia wyprawa,6.7,76,80,documentary
The Movie Man,7.7,172,89,documentary
La prodigiosa trasformazione della classe operaia in stranieri,7,15,125,documentary
Car Gangs,5.9,29,75,documentary
Future Me,6.8,45,97,documentary
Fight to Live,6,43,79,documentary
American Expendables,5.6,17,61,documentary
Immortals,7.4,27,94,documentary
Dargeçit,8.4,24,82,documentary
Preemptive Listening,7.7,18,89,documentary
My Undesirable Friends: Part I - Last Air in Moscow,7.7,11,324,documentary
Takin' Care of Business,8.2,6,80,documentary
Biohack Yourself,4,39,90,documentary
And So It Begins,7,101,113,documentary
Roleplay,6.9,17,85,documentary
So Surreal: Behind the Masks,8.7,11,88,documentary
Lost City,7.9,45,91,documentary
Atomic People,8.3,105,90,documentary
A Resilient Man,7.4,39,90,documentary
Faders Up: The John Aielli Experience,9,10,75,documentary
Get the Land Back,7.5,60,70,documentary
Hell Jumper,8.8,58,89,documentary
The Flight of Bryan,6.3,17,99,documentary
Slice of Life: The American Dream. In Former Pizza Huts.,7.9,9,83,documentary
Aquarius,6.6,21,75,documentary
Le parfum d'Irak,8.1,42,95,documentary
"American Cats: The Good, the Bad, and the Cuddly",9.1,57,88,documentary
Join the Club,8.8,7,87,documentary
Power of the Dream,6.5,177,133,documentary
Future Council,7.4,16,81,documentary
Im Prinzip Familie,8.8,15,91,documentary
Bring Them Home,8.3,16,85,documentary
Leonard Cohen: If It Be Your Will,8.6,28,77,documentary
Six Inches of Soil,8.7,43,96,documentary
"Yalla, Baba!",6.6,7,104,documentary
Suzzanna: The Queen of Black Magic,6.6,43,88,documentary
Murder in a Teacup,6.3,148,93,documentary
Without Arrows,6.6,19,85,documentary
Vice Is Broke,8.1,18,102,documentary
Fragments of Ice,7.5,79,95,documentary
The Waiting Game,9.7,22,89,documentary
"RM: Right People, Wrong Place",8.3,409,80,documentary
Life and Other Problems,7.5,62,99,documentary
Linda Perry: Let It Die Here,8.2,12,93,documentary
The Donn of Tiki,9.3,25,100,documentary
Unbreakable: England 2003,8.2,35,66,documentary
Googoosh MADE OF FIRE,8.1,33,94,documentary
After the Snowmelt,6.4,40,110,documentary
Neal Brennan: Crazy Good,7.2,1400,53,documentary
Dust to Dust,8.8,6,89,documentary
Under the Surface,6.8,10,75,documentary
A Sisters' Tale,6.7,30,92,documentary
Better Off Dead?,6.4,29,60,documentary
Among Neighbors,9.4,15,100,documentary
Jacob de Haan: A Voice Out of Time,6.4,8,72,documentary
Ain't No Back to a Merry-Go-Round,8.4,11,89,documentary
Silverback,7.3,114,90,documentary
D-Day: 80th Anniversary,6.5,28,61,documentary
God Bless Bitcoin,7.3,55,89,documentary
"Hammer: Heroes, Legends and Monsters",6.8,116,90,documentary
Usher: Rendezvous in Paris,7.9,45,88,documentary
As We Speak,6.5,130,96,documentary
Liliana,6.5,20,84,documentary
Aespa World Tour in Cinemas,8.1,103,125,documentary
Adrienne Iapalucci: The Dark Queen,6.5,311,52,documentary
Out of Plain Sight,8.4,18,94,documentary
Beyond October 7th,6.6,68,65,documentary
Pride Vs. Prejudice: The Delwin Vriend Story,9,8,80,documentary
American Agitators,9.2,7,94,documentary
Bass Impact,5.9,52,109,documentary
Pirópolis,6.5,10,73,documentary
Manicouagan,8.2,5,101,documentary
Edith: Porsche's Volcano Ascent,7.3,66,49,documentary
Kamay,6.8,33,106,documentary
SK13: Kubrick's Endgame,8.5,38,112,documentary
Watching you - Die Welt von Palantir und Alex Karp,5.3,27,103,documentary
Make Peace or Die: Honor the Fallen,7.8,20,99,documentary
Flowers of Ukraine,8.5,45,70,documentary
The Accidental Spy,7.6,11,97,documentary
Her Name Was Moviola,7.1,15,70,documentary
Eyes of Gaza,6.2,13,50,documentary
Larry (they/them),8,6,103,documentary
Thom Browne: The Man Who Tailors Dreams,9,8,95,documentary
All the Eyes,8.5,307,80,documentary
White with Fear,4.7,14,86,documentary
Village of Death: Oradour-sur-Glane 1944,7.8,15,58,documentary
Tracing Light,6.3,31,99,documentary
Silent Men,7.6,22,88,documentary
I will revenge this world with Love - S. Paradjanov,6.6,24,110,documentary
Boutique: To Preserve and Collect,7.2,9,75,documentary
The Many Miracles of Household Saints,7.7,25,58,documentary
Una sombra oscilante,6.6,8,77,documentary
Avant-Drag!,6.7,290,92,documentary
The Promise,9.6,21,60,documentary
DRIVER,7.8,8,90,documentary
Arda Turan: Confrontation,5.8,1100,98,documentary
Saving Sakic,6.7,288,48,documentary
Det omätbara,8.2,48,90,documentary
Hacking at Leaves,8.7,19,108,documentary
Ronaldo: From Lisbon to Legend,5.9,17,60,documentary
Enderslime SMP: Genesis,9,7,0,documentary
Since Yesterday: The Untold Story of Scotland's Girl Bands,7.5,58,94,documentary
Denzel Washington: American Icon,6.3,58,59,documentary
Gerrard: Born to Lead,4.3,15,60,documentary
The Shadow Scholars,7.7,32,97,documentary
Petra Kelly - Act Now!,8.1,37,104,documentary
"Godina prodje, dan nikako",8.8,10,71,documentary
Paint Me a Road Out of Here,9,9,90,documentary
"Io sono un po' matto, e tu?",6.1,11,79,documentary
Chanting of the Dunes,8.5,13,86,documentary
"Bestiari, erbari, lapidari",7.3,35,206,documentary
Sven,7.1,633,107,documentary
The Blind Sea,5.6,42,94,documentary
Otto by Otto,7.9,53,94,documentary
El Cuarto Round,8.8,22,89,documentary
Truth or Dare,6.2,5,79,documentary
Kunstroof,7,43,102,documentary
Finding Amelia,3.8,54,100,documentary
From Island to Island,8.3,16,290,documentary
Igualada,7.3,55,78,documentary
Daley,7.8,179,102,documentary
Eyes wide open,5.1,9,52,documentary
Your Tomorrow,7.8,18,96,documentary
Al Fayed: Predator at Harrods,5.4,95,129,documentary
Monólogo colectivo,6.2,28,104,documentary
La passion selon Béatrice,6.3,36,83,documentary
Rave on for the Avon,9.4,28,86,documentary
Pol Pot Dancing,7.1,14,102,documentary
Nasa djeca,7.5,26,92,documentary
Nobody Wants to Talk About Jacob Applebaum,7.5,20,120,documentary
Skategoat,8.4,30,84,documentary
Mother Vera,7.3,32,91,documentary
Momentum: The story of Bernt Marius Rorstad,7.3,9,71,documentary
Spyral,8.6,19,83,documentary
Dark Alliance: The Inside Story of the Cosmic Con,7.6,13,170,documentary
Blur: Live at Wembley Stadium,8.1,89,128,documentary
The Secret Army,6.7,118,89,documentary
A Man Imagined,7.6,9,62,documentary
Slumlord Millionaire,9.8,14,86,documentary
"Internet, le piège du clic",7.5,79,90,documentary
Until I Kill You: The Real Story,7.2,17,49,documentary
Al margen,6.3,40,90,documentary
George Clooney: Leading Man,2.6,96,45,documentary
Attenborough and the Jurassic Sea Monster,7.6,61,53,documentary
AI Evolution,4.3,46,52,documentary
Hard to Break,6.4,57,81,documentary
Full Support,7.4,24,68,documentary
Sleep #2,5.4,45,61,documentary
Traslados,7.8,13,90,documentary
"Beyond, Ode to the Earth",6.7,121,77,documentary
Seksi: Pantasya at pelikula,6.1,21,49,documentary
Mugaritz. Sin pan ni postre,6.2,21,95,documentary
X Trillion,6.7,60,68,documentary
The in Between,6,24,82,documentary
NCT Dream Mystery Lab: Dream()Scape in Cinemas,8.8,29,138,documentary
The London Underground Killer,4.7,92,91,documentary
Shape: When Idolisation Leads to Exclusion,6.6,27,90,documentary
The Real Red Tails,6.7,84,45,documentary
Horizon,6.9,316,50,documentary
Home Court,7.8,29,95,documentary
Family Tree,9.3,9,93,documentary
Charmian Clift: Life Burns High,7.9,15,80,documentary
Not Not Jazz,6.1,16,77,documentary
Grand Me,8,21,78,documentary
aespa: MY First page,8.3,32,110,documentary
Jean Cocteau,7.6,13,94,documentary
The Relentless Patriot,6.3,215,94,documentary
Chasing Time,8.4,8,40,documentary
Baldiga: Unlocked Heart,7.2,40,92,documentary
It's Not Funny Anymore: Vice to Proud Boys,6.4,50,88,documentary
Da Vinci,8.7,63,81,documentary
Great White Summer,7.3,16,79,documentary
"DIE UNBEUGSAMEN 2: Guten Morgen, ihr Schönen!",7.6,41,104,documentary
Okurimono,7.8,17,96,documentary
Songs from the Hole,7.1,12,106,documentary
Borderland: The Line Within,7.7,9,110,documentary
Yaremchuk: Nezrivniannyi svit krasy,8.6,458,92,documentary
Surviving Sunset an Actor's Hollywood journey.,9.5,25,64,documentary
Bienvenidos Conquistadores Interplanetarios y del Espacio Sideral,7.4,8,90,documentary
Moses,8.3,121,127,documentary
Dave Attell: Hot Cross Buns,7.1,1000,40,documentary
Ram Janmabhoomi - Return of a Splendid Sun,8.3,55,75,documentary
Lynden,9.6,83,73,documentary
Welcome to Yiddishland,8.3,7,95,documentary
A Radical Act: Renee Montgomery,7.4,31,104,documentary
Tack,8.3,42,96,documentary
Time Passages,6.3,8,86,documentary
Defoe,7.1,88,91,documentary
Spy Capital,8.8,23,74,documentary
Pidyomna syla,8.7,67,87,documentary
exergue - on documenta 14,5.2,27,840,documentary
Children of the Wicker Man,7,34,92,documentary
Eclipse,9.4,83,79,documentary
The Most Australian Band Ever!,8.1,8,106,documentary
Searching for Amani,7.9,31,80,documentary
Dear Beautiful Beloved,8.4,40,93,documentary
Triumph: Jesse Owens and the Berlin Olympics,7.8,64,120,documentary
Sept promenades avec Mark Brown,6.5,17,104,documentary
Curl Power,7.7,23,85,documentary
Shattered Glass: A WNBPA Story,6.2,38,75,documentary
Adrianne & the Castle,7.6,28,86,documentary
Sue Bird: In the Clutch,7.6,86,98,documentary
The Hexagonal Hive and a Mouse in a Maze,5,10,93,documentary
Great White Serial Killer: Sea of Blood,7,31,45,documentary
Cannes Without A Plan,8.9,12,74,documentary
The Man I Left Behind,6.5,8,83,documentary
Brian Simpson: Live from the Mothership,7.1,376,70,documentary
Liefjes,7.3,29,80,documentary
The Fabulous Gold Harvesting Machine,7.3,16,77,documentary
Ismo - maailman hauskin ulkopuolinen,7.3,96,98,documentary
The Bitter Pill,7.6,10,99,documentary
La machine à écrire et autres sources de tracas,7.1,44,72,documentary
My National Gallery,7.9,29,90,documentary
The Real Story of January 6: Part 2 - The Long Road Home,6.2,29,90,documentary
This Is My Moment,7.8,96,106,documentary
October 7 - Al Jazeera Investigations,6.2,42,60,documentary
Diari de la meva sextorsió,6.5,53,64,documentary
A Man Fell,9.2,20,70,documentary
The Governor,8.1,15,71,documentary
Obedience,7.5,27,71,documentary
The Golden Chain of Mercy,9.3,12,71,documentary
From My Cold Dead Hands,6.8,22,64,documentary
North Putnam,7,7,90,documentary
Harder Than the Rock,6.6,50,100,documentary
De la guerre froide à la guerre verte,7.5,7,105,documentary
Walled Off,8.8,85,90,documentary
John Singer Sargent: Fashion and Swagger,7.6,36,90,documentary
Hoof Dreams,8.2,21,90,documentary
Tracing the Divide,8.8,169,84,documentary
Blackpink & The K-Pop Takeover,5.1,27,43,documentary
It Happened on our Ground,7.8,17,125,documentary
It'll Never Work,9.6,30,57,documentary
Preconceived,8,13,80,documentary
Such Feeling,8.2,14,76,documentary
Concepción,7.3,10,0,documentary
"L'archipel du Goulag, la révélation",6.9,23,56,documentary
Together: 4-in-a-Row,6.1,62,92,documentary
Formas de atravesar un territorio,7.2,11,73,documentary
Breaking the Cycle,7.5,822,116,documentary
Gong yuan,7.2,14,101,documentary
G - 21 scener från Gottsunda,7,183,80,documentary
The Secret Drawer,6.2,9,132,documentary
Viva Verdi,7.8,5,78,documentary
A Case for Love,8.7,13,115,documentary
"There Was, There Was Not",8,27,94,documentary
Possibility of Paradise,6.5,23,75,documentary
A Call from the Wild,8,35,81,documentary
Emergent City,8.3,9,95,documentary
Covid Collateral,7.9,19,79,documentary
Slenderverse: Building the Slenderman,8,7,115,documentary
Ett hjärta är alltid rött,7.1,394,103,documentary
Mommy,6.3,12,119,documentary
Dreaming Dogs,6.7,15,77,documentary
The Housewife and the Hustler 2: The Reckoning,6.5,44,94,documentary
Out of the Picture,8.5,6,98,documentary
En la nave del encanto,7.3,11,164,documentary
Antarctic Voyage,6.8,6,48,documentary
Ainu Puri,7.3,7,83,documentary
The Beast of the Bales,7,39,101,documentary
Shark Beach with Anthony Mackie,6.8,112,45,documentary
The Empty Grave,7.4,31,97,documentary
"Faith, Love & Pancakes",5.3,17,47,documentary
The Gregg Russell Story,9.5,24,81,documentary
Maurice And I,8.9,26,98,documentary
Untapped: Closing America's Opportunity Gap,6.5,46,70,documentary
When the Mountain Roars,9.2,12,99,documentary
Lions of Mesopotamia,7.5,13,86,documentary
In Search of Bass Reeves,6,58,105,documentary
Rule of Stone,9,11,84,documentary
Under a Blue Sun,6.9,14,80,documentary
Underground,6.3,10,83,documentary
La Marsellesa de los borrachos,6.8,12,96,documentary
Baekhyun: Lonsdaleite [dot] in Cinemas,9.7,8,90,documentary
Majority Rules,8.3,20,92,documentary
Love Machina,6.9,26,96,documentary
On the Way Home,7.6,5,62,documentary
Chasing the Light,7.8,5,85,documentary
Pokial ja zijem,7.9,10,82,documentary
Welcome to Babel,7.3,13,99,documentary
Bigfoot Evidence: Oregon,7.5,28,78,documentary
Knockout Blonde: The Kellie Maloney Story,5.9,21,90,documentary
Lirica ucraina,6.6,10,83,documentary
"October 7th: Voices of Pain, Hope and Heroism",6.8,65,88,documentary
Rhino Man,8.8,42,96,documentary
Ognennyy lis,7.5,117,81,documentary
Diaries from Lebanon,7.2,36,110,documentary
Nahnou Fil Dakhil,7.5,9,177,documentary
Element of Crime in Wenn es dunkel und kalt wird in Berlin,7.4,72,94,documentary
The Unbreakable Tatiana Suarez,6.6,170,78,documentary
My Tiger Family,7.1,64,58,documentary
Wszystko ma zyc,7.3,23,70,documentary
Dad's Lullaby,7.5,11,78,documentary
Transmedium: Fastmovers & USOs,6.8,32,113,documentary
The Other One,7.5,12,85,documentary
Mike Epps: Ready to Sell Out,5.4,367,61,documentary
Dory Previn: On My Way to Where,8.1,10,79,documentary
Alien Weaponry: Kua Tupu Te Ara,6.6,8,99,documentary
Hunter's Laptop - Requiem for Ukraine,8.1,36,68,documentary
All American,9.6,18,87,documentary
The Jersey Sound,7.6,9,93,documentary
Wir Erben,7.8,26,96,documentary
Sanjalice,8.9,13,69,documentary
The Son and the Moon,8.5,28,87,documentary
The Landscape and the Fury,6.4,22,138,documentary
We're All Going to Die,7.3,9,93,documentary
Pavilion 6,7.2,17,70,documentary
Sonnenstadt,7.6,11,105,documentary
"Marisol, llámame Pepa",6.8,115,87,documentary
In the Company of Kings,7.2,11,70,documentary
Behind the Looking Glass,8.9,168,96,documentary
Les Miennes,6.1,11,96,documentary
"Karuara, People of the River",7.9,8,77,documentary
Quir,7.7,10,105,documentary
The Return of the Projectionist,7,34,87,documentary
Personale,8.4,8,93,documentary
All Access to Rossa 25 Shining Years,8.7,65,91,documentary
Rising Up,9.8,8,51,documentary
Jardin noir,8.3,28,80,documentary
Film is Dead. Long Live Film!,7.6,127,102,documentary
Rebel Nun,9.1,42,100,documentary
Doppelgängers³,7.4,18,73,documentary
Riv i hjertet,7.9,30,107,documentary
The Flamingo,6.6,8,79,documentary
"Vai pra Cuba, Eduardo!",7.1,22,47,documentary
Inheritance,8.6,16,85,documentary
Strange Birds,8.4,7,65,documentary
Geri's Wish,8,10,81,documentary
Oasis,6.8,22,80,documentary
Beyond Watergate: The Richard Nixon Story,8.5,14,70,documentary
In the Trenches: The Making of Before Dawn,8.3,7,80,documentary
Fighting Demons with Dragons,7.8,20,93,documentary
Kelly - Someone Else's Dream,6.3,98,90,documentary
Kylie Minogue: Pop Icon,5.2,13,50,documentary
Demetri Martin: Demetri Deconstructed,6.8,535,51,documentary
Sleaze Please: The World of Bill Margold,6.7,16,54,documentary
Holy Redemption,9,28,53,documentary
Her Name Is Alesia: Ms. Macer to You!,8.5,8,50,documentary
Until I Fly,7.1,37,90,documentary
Sacred Soil: The Piney Woods School Story,6.2,63,104,documentary
100 di questi anni,7.2,6,90,documentary
I'm 'George Lucas': A Connor Ratliff Story,8.1,36,90,documentary
Rachel Feinstein: Big Guy,6.5,386,54,documentary
The Last Bumblebee,5.4,44,80,documentary
Documentary of Baby Assassins,8.7,14,95,documentary
Jamoora,8.7,20,90,documentary
Microphone Check,9.6,42,138,documentary
Jimmy,5.9,19,67,documentary
Rafa Márquez: El Capitán,6.6,192,82,documentary
Langston Kerman: Bad Poetry,6.7,155,50,documentary
Taboo: Amos Guttman,6.6,28,76,documentary
She is a Shaman,7.6,12,73,documentary
Taeyong: TY Track in Cinemas,8.4,236,96,documentary
Out of Egypt,4.8,41,109,documentary
Hendrie,8.1,39,106,documentary
Lawfare: A Totalitarian State,8.2,40,90,documentary
Las,5.8,62,84,documentary
Becoming King,7.2,47,66,documentary
Punishment,8.1,27,107,documentary
Bröderna Andersson,7.2,63,84,documentary
Investigating war crimes in Gaza - Al Jazeera Investigations,8.5,46,81,documentary
"Calle Ancha, Fin de Siglo",5.3,6,117,documentary
Soldiers of Song,9.3,61,90,documentary
Los sueños de Pepe - Movimiento 2052,7.6,33,126,documentary
O familie aproape perfecta,5.4,8,88,documentary
CIA Drugs R Us! A Drugs as Weapons... Sequel,7,12,139,documentary
Rise Above: The Journey to College Basketball,6.4,8,106,documentary
War Game: The Making of S.T.A.L.K.E.R. 2,8.2,138,87,documentary
Ahir Shah: Ends,6.2,74,61,documentary
Blondie: Glass Heart,4.3,22,50,documentary
Beethoven's Nine,7.6,11,90,documentary
Arthur Erickson: Beauty Between the Lines,8.4,11,80,documentary
Water Mafia,9.2,12,45,documentary
Shaka: A Story of Aloha,9.5,40,80,documentary
Sharks: Predators of the Deep,5.6,29,60,documentary
Dandelion,8.9,9,95,documentary
Maria,4.2,22,60,documentary
TerraForma,7.9,13,62,documentary
Like My Brother,7.2,19,89,documentary
Downfall of the Crypto King (theatrical feature),6.2,28,90,documentary
Once Upon a Time in HKDSE,7.6,58,90,documentary
The Hobby,7.7,13,92,documentary
Iwájú: A Day Ahead,6.8,73,71,documentary
Protecting Paradise: The Story of Niue,6.4,82,45,documentary
Didy,8.2,6,90,documentary
Meet the Roman Emperor with Mary Beard,7.8,44,59,documentary
Wanted: Roni Kalderon,7.2,7,100,documentary
Todo documento de civilización,6.4,5,88,documentary
Play It Loud! How Toronto Got Soul,8.4,10,84,documentary
"Sean Penn, L'enfant terrible de l'Amérique",7.3,24,52,documentary
Después de un buen día,7.9,26,84,documentary
Blueberry Dreams,7.8,17,75,documentary
The Netflix Slam,7.1,142,150,documentary
Where the Trees Bear Meat,6.8,9,72,documentary
Pistachio Wars,8.4,10,75,documentary
No Place to Grow Old,9.7,19,50,documentary
The Basement,6.7,17,77,documentary
A Sobering Story,9.8,23,97,documentary
Rouge,9.8,13,90,documentary
Nada Será Como Antes,7.1,70,79,documentary
Chernobyl: Minute by Minute,6.6,6,40,documentary
Kurkien äiti,7.9,16,78,documentary
The Death Tour,8.9,33,89,documentary
London Recruits,9.1,11,104,documentary
It Was All a Dream,7,8,83,documentary
"Dolly Parton: Bigger Hair, Bigger Heart",7,11,60,documentary
Deadly Love: Amy & Blake,5.8,10,60,documentary
The Climate According to AI Al Gore,4.3,20,110,documentary
Bekenntnisse des Hochstaplers Thomas Mann,6.5,20,91,documentary
Abo Zaabal 89,8.3,16,83,documentary
Hakeem,9.2,7,72,documentary
A Bit of a Stranger,7.3,41,90,documentary
Unusually Normal,8.2,8,98,documentary
Vägen till ingenstans,7,106,76,documentary
De rettsløse,7.3,34,76,documentary
Don't Forget to Remember,9,12,77,documentary
Come pesci nell'acqua,9.8,97,120,documentary
Ghosts of Napa Valley,5.6,23,90,documentary
The Tempest of Neptun,8.6,11,66,documentary
Letter to the American Church,8.4,11,60,documentary
The Guru,8,10,80,documentary
BDW Politiek Beest,6.4,108,105,documentary
Battle of the Baddest,6.2,95,61,documentary
Nie jestes sama,6.5,13,82,documentary
"Jacques Demy, le rose et le noir",7.1,13,88,documentary
War on Education,9,9,56,documentary
Making of an Activist,5,149,38,documentary
Hip-Hop and the White House,5.8,104,58,documentary
